eventid	country	region	provstate	city	crit1	crit2	crit3	doubtterr	alternative	multiple	success	suicide	attacktype1	targtype1	targsubtype1	corp1	target1	natlty1	gname	guncertain1	individual	nperps	nperpcap	claimed	claimmode	weaptype1	weapsubtype1	nwoundte	property	propextent	propvalue	ishostkid	nhostkid	nhostkidus	nhours	ndays	divert	ransom	hostkidoutcome	nreleased
201507190019	60	10	North Sinai	Sheikh Zuweid	1	1	0	1	1	1	1	0	2	4	36	Egyptian Armed Forces	Checkpoint	60	Sinai Province of the Islamic State	0	0	-99	0	1	7	5	5	0	0			0								
201507190020	60	10	North Sinai	Sheikh Zuweid	1	1	0	1	1	1	1	0	2	4	36	Egyptian Armed Forces	Checkpoint	60	Sinai Province of the Islamic State	0	0	-99	0	1	7	5	5	0	0			0								
201507190021	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Hamas (Islamic Resistance Movement)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190022	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Hamas (Islamic Resistance Movement)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190023	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Hamas (Islamic Resistance Movement)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190024	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Hamas (Islamic Resistance Movement)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190025	92	6	Bihar	Dudhiyatadi	1	1	1	0		0	1	0	2	1	12	Chaubatiya Construction	Bridge Construction Site	92	Maoists	0	0	20	0	0		5	5	0	1	4	-99	0								
201507190038	182	11	Galguduud	Galgaduud district	1	1	0	1	1	0	1	1	3	4	29	African Union Mission in Somalia (AMISOM)	Ethiopian Convoy	422	Al-Shabaab	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190054	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Palestinian Islamic Jihad (PIJ)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190055	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Palestinian Islamic Jihad (PIJ)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507190059	95	10	Al Anbar	Ramadi	1	1	0	1	1	0	1	0	3	4	29	Iraqi Armed Forces	Convoy	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	6	16	0	1	4	-99	0								
201507190061	147	11	Yobe	Unknown	1	1	1	0		0	0	0	3	20		Unknown	Unknown	147	Boko Haram	1	0	-99	0	0		6	8	0	0			0								
201507190062	603	8	Northern Ireland	Lurgan	1	1	1	0		0	1	0	3	3	25	Police Service Of Northern Ireland (PSNI)	Officers	233	Continuity Irish Republican Army (CIRA)	1	0	-99	0	0		6	16	0	0			0								
201507190066	155	10	Gaza Strip	Gaza	1	0	1	1	3	1	1	0	3	17	93	Palestinian Islamic Jihad (PIJ)	Vehicle of Member	155	Supporters of the Islamic State in Jerusalem	0	0	-99	0	0		6	15	0	1	3	-99	0								
201507200003	45	3	Huila	Tello district	1	1	1	0		0	1	0	7	19	99	Coomotor Company	Vehicle	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		8	18	0	1	3	-99	0								
201507200004	205	5	Narathiwat	Batong	1	1	0	1	1	0	1	0	2	4	29	Narathiwat Task Force	Infantry Company 15132 Patrol	205	Separatists	0	0	8	0	0		5	2	0	1	3	-99	0								
201507200005	209	10	Sanliurfa	Suruc	1	1	1	0		0	1	1	3	14	82	Federation of Socialist Youth Associations (SGDF)	Press Conference	209	Islamic State of Iraq and the Levant (ISIL)	0	0	1	0	1	10	6	13	0	1	3	-99	0								
201507200006	200	10	Aleppo	Kobani	1	1	1	0		0	1	1	3	17	94	People's Protection Units (YPG)	Checkpoint	200	Islamic State of Iraq and the Levant (ISIL)	0	0	1	0	0		6	15	0	1	3	-99	0								
201507200007	209	10	Adiyaman	Celikhan district	1	1	0	1	1	0	1	0	2	4	39	Turkish Gendarmerie	Soldiers	209	Kurdistan Workers' Party (PKK)	0	0	-99	0	0		5	5	0	0			0								
201507200008	228	10	Amanat Al Asimah	Sanaa	1	1	1	0		0	1	0	1	22	109	Huthis	Convoy of Leader: Adbul Karim al-Kuhlani	228	Sanaa Province of the Islamic State	0	0	-99	0	1	7	6	15	0	1	3	-99	0								
201507200009	182	11	Bay	Baydhabo	1	1	1	0		0	0	0	3	20		Unknown	Unknown		Al-Shabaab	0	0	3	3	0		6	8	0	0			0								
201507200013	160	5	Albay	Anislag	1	1	1	0		1	1	0	3	4	34	Philippine Army (PA)	91st Operation Bayanihan Team Soldiers	160	New People's Army (NPA)	0	0	-99	0	1	8	6	11	0	1	3	-99	0								
201507200014	160	5	Camarines Norte	Santa Elena	1	1	0	1	1	1	1	0	2	4	34	Philippine Army (PA)	49th Infantry Battalion Soldiers	160	New People's Army (NPA)	0	0	-99	0	1	8	6	11	0	0			0								
